Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
10,950.0,1280,1279,c7h15-3 + o2 => c7h15o2-3,Elementary,-0.08408315,0.08408315,7
10,950.0,1427,1426,c7h14ooh1-3o2 => nc7ket13 + oh,Elementary,-0.08318428,0.08318428,7
10,950.0,1420,1419,c7h14ooh3-5 + o2 => c7h14ooh3-5o2,Elementary,-0.08188312,0.08188312,7
10,950.0,1406,1405,c7h14ooh1-3 + o2 => c7h14ooh1-3o2,Elementary,-0.08025578,0.08025578,7
10,950.0,1441,1440,c7h14ooh3-5o2 => nc7ket35 + oh,Elementary,-0.07978835,0.07978835,7
10,950.0,1201,1200,c7h15-4 => c2h5 + c5h10-1,Elementary,0.07717352,0.07717352,7
10,950.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.07599969,0.07599969,7
10,950.0,1281,1280,c7h15o2-4 => c7h15-4 + o2,Elementary,0.07571164,0.07571164,7
10,950.0,1424,1423,c7h14ooh4-2 + o2 => c7h14ooh4-2o2,Elementary,-0.07407676,0.07407676,7
10,950.0,1383,1382,c7h14ooh2-4 => c7h14o2-4 + oh,Elementary,0.06994363,0.06994363,7
10,950.0,1445,1444,c7h14ooh4-2o2 => nc7ket42 + oh,Elementary,-0.06986781,0.06986781,7
10,950.0,1423,1422,c7h14ooh4-2o2 => c7h14ooh4-2 + o2,Elementary,0.06605522,0.06605522,7
10,950.0,1317,1316,c7h15o2-3 => c7h14ooh3-4,Elementary,0.06361912,0.06361912,7
10,950.0,1419,1418,c7h14ooh3-5o2 => c7h14ooh3-5 + o2,Elementary,0.06297624,0.06297624,7
10,950.0,1397,1396,c7h14ooh2-4 => oh + ch3cho + c5h10-1,Elementary,0.0625446,0.0625446,7
10,950.0,1282,1281,c7h15-4 + o2 => c7h15o2-4,Elementary,-0.06164471,0.06164471,7
10,950.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.0587873,0.0587873,7
10,950.0,1405,1404,c7h14ooh1-3o2 => c7h14ooh1-3 + o2,Elementary,0.05818727,0.05818727,7
10,950.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.05781086,0.05781086,7
10,950.0,1325,1324,c7h15o2-4 => c7h14ooh4-3,Elementary,0.05677447,0.05677447,7
10,950.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.050507,0.050507,7
4,900.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.15744965,0.15744965,7
4,900.0,1319,1318,c7h15o2-3 => c7h14ooh3-5,Elementary,-0.13620174,0.13620174,7
