Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
16,1530.0,437,436,CH2CO + H <=> HCCO + H2,Elementary,-0.06643579,0.06643579,0
16,1530.0,2198,2197,MB-C5H10O2 + H <=> H2 + MBMJ,Duplicate,0.0575669,0.0575669,0
3,1568.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.26271433,0.26271433,0
3,1568.0,10,9,O2 + H <=> O + OH,Elementary,-0.23450814,0.23450814,0
3,1568.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.14242743,0.14242743,0
3,1568.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.13221487,0.13221487,0
3,1568.0,203,202,HCO + M <=> H + CO + M,ThirdBody,-0.07662996,0.07662996,0
3,1568.0,129,128,CH3 + HO2 <=> CH3O + OH,Elementary,-0.07275675,0.07275675,0
3,1568.0,194,193,CH2O + H <=> HCO + H2,Elementary,0.06407799,0.06407799,0
3,1568.0,204,203,HCO + O2 <=> CO + HO2,Elementary,0.05826973,0.05826973,0
9,1573.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.31996075,0.31996075,0
9,1573.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.19314911,0.19314911,0
9,1573.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.11579139,0.11579139,0
9,1573.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.09112328,0.09112328,0
0,1580.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.39070765,0.39070765,0
0,1580.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.19119011,0.19119011,0
0,1580.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.07688816,0.07688816,0
0,1580.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.0725272,0.0725272,0
0,1580.0,195,194,CH2O + OH <=> HCO + H2O,Elementary,0.06569499,0.06569499,0
0,1580.0,194,193,CH2O + H <=> HCO + H2,Elementary,0.06331236,0.06331236,0
0,1580.0,2212,2211,MB-C5H10O2 + OH <=> H2O + MB4J,Elementary,-0.06224521,0.06224521,0
0,1580.0,122,121,CH3 + O <=> CH2O + H,Elementary,0.05838137,0.05838137,0
0,1580.0,10,9,O2 + H <=> O + OH,Elementary,0.05706691,0.05706691,0
6,1601.0,3913,3912,MP1J <=> C2H4 + CH3OCO,Elementary,-0.37319753,0.37319753,0
6,1601.0,3912,3911,MB-C5H10O2 <=> MP1J + CH3,PLOG,-0.1847448,0.1847448,0
6,1601.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.10538364,0.10538364,0
6,1601.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.06445082,0.06445082,0
6,1601.0,2216,2215,MB-C5H10O2 + H <=> H2 + MB4J,Duplicate,-0.05324558,0.05324558,0
15,1639.0,10,9,O2 + H <=> O + OH,Elementary,-0.38861732,0.38861732,0
15,1639.0,2187,2186,MB-C5H10O2 <=> ME2J + C2H5,PLOG,-0.09797322,0.09797322,0
15,1639.0,2186,2185,MB-C5H10O2 <=> BAOJ + CH3,PLOG,-0.08548123,0.08548123,0
15,1639.0,307,306,C2H3 + O2 <=> CH2CHO + O,PLOG,-0.08331216,0.08331216,0
15,1639.0,129,128,CH3 + HO2 <=> CH3O + OH,Elementary,-0.07260603,0.07260603,0
15,1639.0,65,64,CH3 + HO2 <=> CH4 + O2,Elementary,0.06909941,0.06909941,0
15,1639.0,2218,2217,MB-C5H10O2 + H <=> H2 + MB2J,Duplicate,0.06187826,0.06187826,0
15,1639.0,2199,2198,MB-C5H10O2 + H <=> H2 + MB3J,Duplicate,0.05651909,0.05651909,0
